"y","title","director","dist","date","country","genre","grade","type2","type3","time","main1","main2","main3","b_screen","b_play","b_count","month","first_count","actor","main1_to_m","main1_to_s","main2_to_m","main2_to_s","main3_to_m","main3_to_s","dist_factor2","dist_factor1","dir_to_m","dir_to_s"
3963220,"캡틴 아메리카: 윈터 솔져","조 루소,안소니 루소","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)",2014-03-26,"미국","액션","15세이상관람가","상업영화","일반영화","135분 42초","크리스 에반스","스칼렛 요한슨","사무엘 L. 잭슨",2,3,932,3,166787,"크리스 에반스,스칼렛 요한슨,사무엘 L. 잭슨",2203871,1.37588901249034,2284123.75,1.44925637657996,1666319.71428571,0.884457617356319,1,0,3963220,2.57793507628645
3842441,"매드 맥스: 분노의 도로","조지 밀러","워너브러더스 코리아(주)",2015-05-14,"미국","액션","15세이상관람가","상업영화","일반영화","120분 0초","톰 하디","샤를리즈 테론","니콜라스 홀트",18,19,3958,5,89736,"톰 하디,샤를리즈 테론,니콜라스 홀트",1374448,0.617627404940409,1090770.55555556,0.358288424649168,1220681.2,0.477053221495039,1,0,3842441,2.48279754526975
3783375,"데드풀 2","데이빗 레이치","이십세기폭스코리아(주)",2018-05-16,"미국","액션","청소년관람불가","상업영화","일반영화","117분 29초","라이언 레놀즈","조슈 브롤린","재지 비츠",1,4,1502,5,356445,"라이언 레놀즈,조슈 브롤린,재지 비츠",1389128.33333333,0.63104822055886,2109742.33333333,1.2898362335064,3783375,2.8198774745556,1,0,1969371.5,1.00738205373002
3689325,"미이라","알렉스 커츠먼","유니버설픽쳐스인터내셔널 코리아(유)",2017-06-06,"미국","액션","15세이상관람가","상업영화","일반영화","110분 7초","톰 크루즈","소피아 부텔라","애나벨 월리스",1,2,553,6,873117,"톰 크루즈,소피아 부텔라,애나벨 월리스",2832225,1.95033258850696,1922346.5,1.11851826205939,2307569,1.47069011178433,0,0,3689325,2.36218818272202
3653238,"분노의 질주: 더 익스트림","F. 게리 그레이","유니버설픽쳐스인터내셔널 코리아(유)",2017-04-12,"미국","액션","15세이상관람가","상업영화","일반영화","136분 7초","빈 디젤","드웨인 존슨","샤를리즈 테론",1,2,503,4,208481,"빈 디젤,드웨인 존슨,샤를리즈 테론",1570110,0.796502336858665,1722081.81818182,0.935435541214985,1090770.55555556,0.358288424649168,0,0,1851041,0.914173204393868
3610642,"인턴","낸시 마이어스","워너브러더스 코리아(주)",2015-09-24,"미국","코미디","12세이상관람가","상업영화","일반영화","121분 22초","앤 해서웨이","로버트 드니로","르네 루소",27,42,4306,9,50009,"앤 해서웨이,로버트 드니로,르네 루소",2949516.7,2.05756109916349,411328,-0.26286049986027,3610642,2.66196432016162,1,0,3610642,2.30020964048383
3579666,"리얼 스틸","숀 레비","한국소니픽쳐스릴리징브에나비스타영화㈜",2011-10-12,"미국","액션","12세이상관람가","상업영화","일반영화","127분 0초","휴 잭맨",NA,NA,248,1320,84003,10,63863,"휴 잭맨,NA,NA",1871756.72727273,1.07226890269298,1488685.48147183,-0.128194219234853,1568418.03956224,0.79495554030076,1,0,2340672,1.29985518925246
3570069,"라라랜드","다미엔 차젤레","판씨네마(주)",2016-12-07,"미국","드라마","12세이상관람가","상업영화","일반영화","127분 53초","엠마 스톤","라이언 고슬링","핀 위트록",12,18,5172,12,62258,"엠마 스톤,라이언 고슬링,핀 위트록",1731805.75,0.944325196037868,498224.111111111,-0.183419750205451,3570069,2.62487233187202,0,0,2565942,1.47730020545669
3510040,"코코","리 언크리치","월트디즈니컴퍼니코리아 유한책임회사",2018-01-11,"미국","애니메이션","전체관람가","상업영화","일반영화","126분 44초","가엘 가르시아 베르날","앤서니 곤잘레스","벤자민 브랫",17,50,10730,1,106921,"가엘 가르시아 베르날,앤서니 곤잘레스,벤자민 브랫",3510040,2.5699935956426,3510040,2.5699935956426,3510040,2.5699935956426,1,0,3510040,2.22096551778583
3427464,"비긴 어게인","존 카니","판씨네마(주)",2014-08-13,"미국","멜로/로맨스","15세이상관람가","다양성영화","예술영화","103분 58초","키이라 나이틀리","마크 러팔로","애덤 리바인",24,46,9215,8,12032,"키이라 나이틀리,마크 러팔로,애덤 리바인",711103,0.011194925903522,4466438.14285714,3.44433635351238,3427464,2.49450230771708,0,0,3427464,2.15592046226099
3379762,"맨 인 블랙 3","배리 소넨필드","한국소니픽쳐스릴리징브에나비스타영화㈜",2012-05-24,"미국","액션","12세이상관람가","상업영화","일반영화","106분 0초","윌 스미스","토미 리 존스","조슈 브롤린",4,22,5560,5,141261,"윌 스미스,토미 리 존스,조슈 브롤린",1789682.33333333,0.997236184903418,1124915,0.389503403415544,2109742.33333333,1.2898362335064,1,0,3379762,2.11834563133377
3324861,"슈퍼배드 3","피에르 꼬팽,카일 발다","유니버설픽쳐스인터내셔널 코리아(유)",2017-07-26,"미국","애니메이션","전체관람가","상업영화","일반영화","89분 42초","스티브 카렐","크리스틴 위그","트레이 파커",4,5,1370,7,195774,"스티브 카렐,크리스틴 위그,트레이 파커",617428.75,-0.074442423664834,998612.8,0.274037459971616,3324861,2.40070226151696,0,0,2975216.5,1.79968543333648
3317196,"데드풀","팀 밀러","이십세기폭스코리아(주)",2016-02-17,"미국","액션","청소년관람불가","상업영화","일반영화","107분 59초","라이언 레놀즈","모레나 바카린","에드 스크레인",827,3076,186267,2,252018,"라이언 레놀즈,모레나 바카린,에드 스크레인",1389128.33333333,0.63104822055886,3317196,2.39369488985995,3317196,2.39369488985995,1,0,3317196,2.06906243834831
3273879,"스타워즈: 깨어난 포스","J.J. 에이브럼스","월트디즈니컴퍼니코리아(주)",2015-12-17,"미국","액션","12세이상관람가","상업영화","일반영화","135분 10초","해리슨 포드","마크 해밀","캐리 피셔",7,9,2500,12,167315,"해리슨 포드,마크 해밀,캐리 피셔",941520.6,0.22184355728196,2116728.5,1.29622301319213,2116728.5,1.29622301319213,1,0,2439575,1.37776101087828
3247558,"분노의 질주: 더 세븐","제임스 완","유니버설픽쳐스인터내셔널 코리아(유)",2015-04-01,"미국","액션","15세이상관람가","상업영화","일반영화","137분 46초","빈 디젤","폴 워커","드웨인 존슨",1,1,397,4,135549,"빈 디젤,폴 워커,드웨인 존슨",1570110,0.796502336858665,2519007.5,1.66398797898592,1722081.81818182,0.935435541214985,0,0,1871670,0.930422652785918
3239371,"터미네이터 제니시스","앨런 테일러","롯데쇼핑㈜롯데엔터테인먼트",2015-07-02,"미국","액션","15세이상관람가","상업영화","일반영화","125분 33초","아놀드 슈왈제네거","제이슨 클락","에밀리아 클라크",2,2,999,7,253699,"아놀드 슈왈제네거,제이슨 클락,에밀리아 클라크",811239,0.102739631480315,1920197.25,1.11655340967403,1464338.33333333,0.699805483745232,0,1,3139630,1.92919382846985
3227452,"그래비티","알폰소 쿠아론","주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)",2013-10-17,"미국","SF","12세이상관람가","상업영화","일반영화","90분 53초","산드라 블록","조지 클루니",NA,8,10,2613,10,110996,"산드라 블록,조지 클루니,NA",2368253.66666667,1.52616826093175,470251.875,-0.208992073037562,2035644.87346316,1.22209605866615,1,0,3227452,1.99837115440357
3130046,"캐리비안의 해적: 낯선 조류","롭 마샬","한국소니픽쳐스릴리징브에나비스타영화㈜",2011-05-19,"미국","액션","12세이상관람가","상업영화","일반영화","137분 0초","이안 맥쉐인","페넬로페 크루즈","조니 뎁",9,12,2670,5,182947,"이안 맥쉐인,페넬로페 크루즈,조니 뎁",1164317.66666667,0.425525468596304,1376025,0.619069104236313,922074,0.204065402857281,1,0,1735964,0.82352713465651
3100113,"나우 유 씨 미 2","존 추","롯데쇼핑㈜롯데엔터테인먼트",2016-07-13,"미국","범죄","12세이상관람가","상업영화","일반영화","129분 2초","제시 아이젠버그","마크 러팔로","우디 해럴슨",653,3431,303125,7,196279,"제시 아이젠버그,마크 러팔로,우디 해럴슨",1174675.16666667,0.434994333819716,4466438.14285714,3.44433635351238,1613260.4,0.835950593864346,0,1,2478015,1.40804017109886
3049894,"캐리비안의 해적: 죽은 자는 말이 없다","요아킴 뢰닝,에스펜 샌버그","월트디즈니컴퍼니코리아 유한책임회사",2017-05-24,"미국","액션","12세이상관람가","상업영화","일반영화","128분 56초","조니 뎁","카야 스코델라리오","올랜도 블룸",4,5,1859,5,206541,"조니 뎁,카야 스코델라리오,올랜도 블룸",922074,0.204065402857281,2726621.25,1.85378924543799,3049894,2.14932640210242,1,0,3049894,1.85850884611933
3039889,"토르: 다크 월드","앨런 테일러","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)",2013-10-30,"미국","액션","12세이상관람가","상업영화","일반영화","111분 53초","크리스 헴스워스","톰 히들스턴","나탈리 포트만",1,2,652,10,114775,"크리스 헴스워스,톰 히들스턴,나탈리 포트만",2832515.4,1.95059807327268,2407427.25,1.5619808972727,2367209,1.5252132227594,1,0,3139630,1.92919382846985
3004647,"레드: 더 레전드","딘 패리소트","롯데쇼핑㈜롯데엔터테인먼트",2013-07-18,"미국","액션","15세이상관람가","상업영화","일반영화","115분 46초","브루스 윌리스","존 말코비치","메리-루이스 파커",3,6,1337,7,131462,"브루스 윌리스,존 말코비치,메리-루이스 파커",1062360.71428571,0.33231604154488,3405130.75,2.47408516707014,3004647,2.10796142553822,0,1,3004647,1.82286781691796
3000056,"드래곤 길들이기 2","딘 데블로이스","씨제이이앤엠(주)",2014-07-23,"미국","애니메이션","전체관람가","상업영화","일반영화","101분 47초","제이 바루첼","제라드 버틀러","케이트 블란쳇",16,28,4029,7,72041,"제이 바루첼,제라드 버틀러,케이트 블란쳇",3000056,2.10376431617392,740596.875,0.0381583366967805,1286345.6,0.537083861473436,0,1,3000056,1.81925148953573
2938818,"엑스맨: 아포칼립스","브라이언 싱어","이십세기폭스코리아(주)",2016-05-25,"미국","액션","12세이상관람가","상업영화","일반영화","145분 20초","제임스 맥어보이","마이클 패스벤더","제니퍼 로렌스",7,21,4457,5,298816,"제임스 맥어보이,마이클 패스벤더,제니퍼 로렌스",1826088.8,1.03051911284233,1205017.09090909,0.462733034400986,575866,-0.112439245104794,1,0,2736281,1.61147611265789
2839921,"앤트맨","페이튼 리드","월트디즈니컴퍼니코리아(주)",2015-09-03,"미국","액션","12세이상관람가","상업영화","일반영화","116분 56초","폴 러드","마이클 더글라스","에반젤린 릴리",3,5,1778,9,174587,"폴 러드,마이클 더글라스,에반젤린 릴리",1433465.5,0.671581424088152,1007918.33333333,0.282544613335391,2839921,1.95736830047987,1,0,2839921,1.69311326576042
2836774,"호빗: 다섯 군대 전투","피터 잭슨","워너브러더스 코리아(주)",2014-12-17,"미국","어드벤처","12세이상관람가","상업영화","일반영화","144분 17초","마틴 프리먼","이안 맥켈런","리차드 아미티지",8,11,2295,12,188655,"마틴 프리먼,이안 맥켈런,리차드 아미티지",2646170.33333333,1.78024071664082,2827883.5,1.94636357297547,2578086.33333333,1.7179980692963,1,0,2646170.33333333,1.54049600564479
