"y","title","director","dist","date","genre","grade","type2","type3","time","main1","main2","main3","b_screen","b_play","b_count","month","actor","first_count","main1_to_m","main1_to_s","main2_to_m","main2_to_s","main3_to_m","main3_to_s","dist_factor1","dir_to_m","dir_to_s"
416346,"흥부: 글로 세상을 바꾼 자","조근현","롯데쇼핑㈜롯데엔터테인먼트",2018-02-14,"사극","12세이상관람가","상업영화","일반영화","105분 0초","정우","김주혁","정진영",8,16,3850,2,"정우,김주혁,정진영",43694,3076008.75,1.36657878790985,1553476.8,0.405676088799201,1242258.66666667,0.209259623231974,1,865583,-0.142405032341761
414626,"무뢰한","오승욱","CGV아트하우스",2015-05-27,"멜로/로맨스","청소년관람불가","상업영화","일반영화","118분 18초","김남길","전도연","박성웅",21,46,8043,5,"김남길,전도연,박성웅",50014,2756673.33333333,1.16503933003731,736143.25,-0.110160714670631,517319.125,-0.248265332010863,0,414626,-0.365819037056582
407727,"넛잡 2","캘런 브런커","롯데쇼핑㈜롯데엔터테인먼트",2017-10-03,"애니메이션","전체관람가","상업영화","일반영화","91분 0초","윌 아넷","캐서린 헤이글","성룡",15,28,4060,10,"윌 아넷,캐서린 헤이글,성룡",27229,407727,-0.317431282002107,407727,-0.317431282002107,407727,-0.317431282002107,1,407727,-0.369236953218272
404456,"좋은 친구들","이도윤","씨제이이앤엠(주)",2014-07-10,"범죄","청소년관람불가","상업영화","일반영화","114분 7초","지성","주지훈","이광수",336,1853,40584,7,"지성,주지훈,이광수",38128,404456,-0.319495680538237,3416817,1.58167021328466,1038769.25,0.0808330705310916,1,404456,-0.370857478477714
397923,"사랑이 무서워","정우철","롯데쇼핑㈜롯데엔터테인먼트",2011-03-10,"코미디","15세이상관람가","상업영화","일반영화","112분 0초","임창정","김규리","손현우",35,136,14229,3,"임창정,김규리,손현우",18450,327093.5,-0.368320820174845,417547,-0.311233668542983,397923,-0.323618797516695,1,397923,-0.374094070198881
387409,"내 심장을 쏴라","문제용","(주)리틀빅픽쳐스,(주)이수C&E",2015-01-28,"드라마","15세이상관람가","상업영화","일반영화","101분 41초","이민기","여진구","유오성",8,21,3969,1,"이민기,여진구,유오성",60407,1526466.2,0.388629117506022,852545.4,-0.0366968112581064,1215623.75,0.192449753780244,0,387409,-0.379302936777228
385934,"나의 독재자","이해준","롯데쇼핑㈜롯데엔터테인먼트",2014-10-30,"드라마","15세이상관람가","상업영화","일반영화","127분 50초","설경구","박해일","윤제문",474,1096,29256,10,"설경구,박해일,윤제문",37015,2036161.875,0.710309033538343,2652617.875,1.0993676896033,1228996.25,0.200889426487183,1,385934,-0.380033684180981
380581,"대장 김창수","이원태","씨네그루(주)키다리이엔티,주식회사 키위컴퍼니",2017-10-19,"드라마","12세이상관람가","상업영화","일반영화","114분 57초","조진웅","송승헌","정만식",43,95,14275,10,"조진웅,송승헌,정만식",44469,3269154.54545455,1.48847725852924,935603.333333333,0.0157228389978718,677482.25,-0.147182934948196,0,380581,-0.382685677979144
351830,"석조저택 살인사건","정식,김휘","씨네그루(주)키다리이엔티",2017-05-09,"스릴러","15세이상관람가","상업영화","일반영화","108분 32초","고수","김주혁","문성근",10,26,5540,5,"고수,김주혁,문성근",84068,1419273.5,0.320977496300333,1553476.8,0.405676088799201,869714.5,-0.025861022537022,0,351830,-0.396929554999694
351779,"커플즈","정용기","(주)싸이더스",2011-11-02,"멜로/로맨스","15세이상관람가","상업영화","일반영화","110분 0초","공형진","김주혁","이윤지",23,56,9041,11,"공형진,김주혁,이윤지",18869,243303,-0.421202809028893,1553476.8,0.405676088799201,351779,-0.352741269559244,0,755900,-0.196744400128791
351276,"싱글라이더","이주영","워너브러더스 코리아(주)",2017-02-22,"드라마","15세이상관람가","상업영화","일반영화","97분 13초","이병헌","공효진","안소희",25,43,5453,2,"이병헌,공효진,안소희",65584,4845691.33333333,2.48346357373921,828201.75,-0.0520606129774759,351276,-0.353058723690602,0,351276,-0.397204018770324
347790,"7호실","이용승","롯데쇼핑㈜롯데엔터테인먼트",2017-11-15,"코미디","15세이상관람가","상업영화","일반영화","100분 16초","신하균","도경수","김동영",29,49,6379,11,"신하균,도경수,김동영",55985,1086108.85714286,0.110710115987122,1186290.33333333,0.173936802870322,347790,-0.355258813356438,1,347790,-0.398931059753025
346483,"치외법권","신동엽","판씨네마(주)",2015-08-27,"액션","15세이상관람가","상업영화","일반영화","103분 44초","임창정","최다니엘","임은경",8,27,5650,8,"임창정,최다니엘,임은경",49585,327093.5,-0.368320820174845,1136503.66666667,0.142515365455021,346483,-0.356083689200743,0,186133,-0.479019488938477
339844,"하이힐","장진","롯데쇼핑㈜롯데엔터테인먼트",2014-06-03,"범죄","청소년관람불가","상업영화","일반영화","124분 46초","차승원","오정세","이솜",27,36,6369,6,"차승원,오정세,이솜",13936,655519,-0.161044414969184,296487.75,-0.387636768049244,185436.4,-0.457723666360233,1,461315.333333333,-0.342688115621799
334323,"미나문방구","정익환","롯데쇼핑㈜롯데엔터테인먼트",2013-05-16,"드라마","전체관람가","상업영화","일반영화","106분 16초","최강희","봉태규","김원해",19,99,16350,5,"최강희,봉태규,김원해",25123,139333,-0.48682051486852,334323,-0.363758127048294,334323,-0.363758127048294,1,334323,-0.405602907404784
332619,"남영동1985","정지영","씨너스엔터테인먼트(주),(주)엣나인필름",2012-11-22,"드라마","15세이상관람가","다양성영화","예술,독립 영화","106분 0초","박원상","이경영","오지혜",10,43,9227,11,"박원상,이경영,오지혜",31034,1267063.66666667,0.224914592870831,487110.833333333,-0.267330435372419,332619,-0.364833558141405,0,1891780,0.365995505617148
331760,"무서운 이야기","정범식,임대웅,홍지영,김곡,김선,민규동","롯데쇼핑㈜롯데엔터테인먼트",2012-07-25,"공포(호러)","청소년관람불가","상업영화","일반영화","108분 0초","김현수","노강민","진태현",8,32,5697,7,"김현수,노강민,진태현",20457,842744,-0.0428826858567072,331760,-0.365375691538694,331760,-0.365375691538694,1,331760,-0.406872673910425
324420,"사랑하기 때문에","주지홍","(주)넥스트엔터테인먼트월드(NEW)",2017-01-04,"코미디","12세이상관람가","상업영화","일반영화","110분 0초","차태현","김유정","서현진",26,103,18677,1,"차태현,김유정,서현진",44941,3566193.16666667,1.67594472866202,968906,0.0367408690547007,324420,-0.3700081235947,1,324420,-0.410509071160288
323628,"희생부활자","곽경택","(주)쇼박스",2017-10-12,"미스터리","15세이상관람가","상업영화","일반영화","91분 23초","김래원","김해숙","성동일",9,9,2895,10,"김래원,김해숙,성동일",49100,1407836.75,0.313759517101898,1042938.5,0.0834643739847019,1849400.66666667,0.592440013333764,1,1550335.75,0.196836523099194
320923,"극적인 하룻밤","하기호","CGV아트하우스",2015-12-03,"멜로/로맨스","청소년관람불가","상업영화","일반영화","107분 22초","윤계상","한예리","박효주",2,7,1362,12,"윤계상,한예리,박효주",35140,367942.25,-0.342540294432646,706193.111111111,-0.129062892255195,169704,-0.467652722774115,0,320923,-0.412241561784644
317505,"도리화가","이종필","씨제이이앤엠(주)",2015-11-25,"사극","12세이상관람가","상업영화","일반영화","109분 19초","류승룡","배수지","송새벽",20,33,6760,11,"류승룡,배수지,송새벽",49216,4803252.8,2.45667970150172,317505,-0.374372328998961,627048.833333333,-0.179012550215299,1,640569.5,-0.253881663483751
316780,"레드카펫","박범수","(주)프레인글로벌",2014-10-23,"멜로/로맨스","15세이상관람가","상업영화","일반영화","117분 16초","윤계상","고준희","오정세",24,50,6916,10,"윤계상,고준희,오정세",26180,367942.25,-0.342540294432646,316780,-0.37482989211076,296487.75,-0.387636768049244,0,316780,-0.414294095000746
