y,title,director,dist,date,country,genre,grade,type2,type3,time,main1,main2,main3,b_screen,b_play,b_count
3417677,그것만이 내 세상,최성현,씨제이이앤엠(주),2018-01-17,한국,코미디,12세이상관람가,상업영화,일반영화,120분 27초,이병헌,윤여정,박정민,55,128,22707
3379762,맨 인 블랙 3,배리 소넨필드,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-05-24,미국,액션,12세이상관람가,상업영화,일반영화,106분 0초,윌 스미스(제이),토미 리 존스(케이),조슈 브롤린(젊은 케이),4,22,5560
3375735,어바웃 타임,리차드 커티스,유니버설픽쳐스인터내셔널 코리아(유),2013-12-05,영국,멜로/로맨스,15세이상관람가,상업영화,일반영화,123분 24초,레이첼 맥아담스(메리),도널 글리슨(팀),빌 나이,123,414,26340
3324861,슈퍼배드 3,"피에르 꼬팽,카일 발다",유니버설픽쳐스인터내셔널 코리아(유),2017-07-26,미국,애니메이션,전체관람가,상업영화,일반영화,89분 42초,스티브 카렐,크리스틴 위그,트레이 파커,4,5,1370
3317196,데드풀,팀 밀러,이십세기폭스코리아(주),2016-02-17,미국,액션,청소년관람불가,상업영화,일반영화,107분 59초,라이언 레놀즈,모레나 바카린,에드 스크레인,827,3076,186267
3280243,아이 캔 스피크,김현석,"롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스",2017-09-21,한국,코미디,12세이상관람가,상업영화,일반영화,118분 32초,나문희,이제훈(민재),박철민,37,162,31512
3273879,스타워즈: 깨어난 포스,J.J. 에이브럼스,월트디즈니컴퍼니코리아(주),2015-12-17,미국,액션,12세이상관람가,상업영화,일반영화,135분 10초,해리슨 포드,마크 해밀,캐리 피셔,7,9,2500
3247558,분노의 질주: 더 세븐,제임스 완,유니버설픽쳐스인터내셔널 코리아(유),2015-04-01,미국,액션,15세이상관람가,상업영화,일반영화,137분 46초,빈 디젤,폴 워커,드웨인 존슨,1,1,397
3239371,터미네이터 제니시스,앨런 테일러,롯데쇼핑㈜롯데엔터테인먼트,2015-07-02,미국,액션,15세이상관람가,상업영화,일반영화,125분 33초,아놀드 슈왈제네거,제이슨 클락,에밀리아 클라크,2,2,999
3227452,그래비티,알폰소 쿠아론,"주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)",2013-10-17,미국,SF,12세이상관람가,상업영화,일반영화,90분 53초,산드라 블록,조지 클루니,,8,10,2613
