y,title,director,dist,date,country,genre,grade,type2,type3,time,main1,main2,main3,b_screen,b_play,b_count,month,first_count
973703,에픽 : 숲속의 전설,크리스 웻지,이십세기폭스코리아(주),2013-08-07,미국,애니메이션,전체관람가,상업영화,일반영화,102분 23초,아만다 사이프리드,조쉬 허처슨,콜린 파렐,6,40,9196,8,53747
970275,프로메테우스,리들리 스콧,이십세기폭스코리아(주),2012-06-06,미국,SF,청소년관람불가,상업영화,일반영화,123분 0초,누미 라파스,마이클 패스벤더,샤를리즈 테론,376,998,48994,6,177078
959578,스타워즈: 라스트 제다이,라이언 존슨,월트디즈니컴퍼니코리아 유한책임회사,2017-12-14,미국,액션,12세이상관람가,상업영화,일반영화,151분 38초,마크 해밀,캐리 피셔,아담 드라이버,2,5,977,12,115246
956154,잭 더 자이언트 킬러,브라이언 싱어,워너브러더스 코리아(주),2013-02-28,미국,판타지,12세이상관람가,상업영화,일반영화,114분 0초,니콜라스 홀트,이완 맥그리거,엘레노어 톰린슨,1,1,303,2,113999
953871,스텝업4 : 레볼루션,스콧 스피어,롯데쇼핑㈜롯데엔터테인먼트,2012-08-15,미국,멜로/로맨스,12세이상관람가,상업영화,일반영화,98분 0초,라이언 구즈만,캐서린 맥코믹,메간 본,168,778,43569,8,79915
941672,월터의 상상은 현실이 된다,벤 스틸러,"글뫼 주식회사,이십세기폭스코리아(주)",2013-12-31,미국,어드벤처,12세이상관람가,상업영화,일반영화,114분 24초,벤 스틸러,크리스틴 위그,숀 펜,32,74,13490,12,93788
941615,크루즈 패밀리,"커크 드 미코,크리스 샌더스",씨제이이앤엠(주),2013-05-16,미국,애니메이션,전체관람가,상업영화,일반영화,98분 54초,니콜라스 케이지,라이언 레놀즈,엠마 스톤,267,1066,72639,5,14114
939658,미 비포 유,테아 샤록,워너브러더스 코리아(주),2016-06-01,미국,멜로/로맨스,12세이상관람가,상업영화,일반영화,110분 11초,에밀리아 클라크,샘 클라플린,매튜 루이스,8,22,5323,6,25214
925813,애나벨,존 R. 레오네티,워너브러더스 코리아(주),2014-10-02,미국,공포(호러),15세이상관람가,상업영화,일반영화,98분 38초,애나벨 월리스,워드 호튼,알프레 우다드,175,184,5120,10,81019
925108,슈퍼배드 2,"크리스 리노드,피에르 꼬팽",유니버설픽쳐스인터내셔널 코리아(유),2013-09-12,미국,애니메이션,전체관람가,상업영화,일반영화,98분 16초,알 파치노,스티브 카렐,미란다 코스그로브,297,2480,165333,9,6262
921317,매그니피센트 7,안톤 후쿠아,유니버설픽쳐스인터내셔널 코리아(유),2016-09-14,미국,액션,15세이상관람가,상업영화,일반영화,132분 40초,덴젤 워싱턴,크리스 프랫,이병헌,464,1241,35356,9,112370
918678,갓 오브 이집트,알렉스 프로야스,"(주)시네마서비스,(주)나이너스엔터테인먼트",2016-03-03,미국,어드벤처,12세이상관람가,상업영화,일반영화,126분 55초,제라드 버틀러,니콜라이 코스터 왈도,코트니 이튼,7,14,2930,3,56814
918183,주먹왕 랄프,리치 무어,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2012-12-19,미국,애니메이션,전체관람가,상업영화,일반영화,108분 0초,존 C. 레일리,잭 맥브레이어,제인 린치,118,411,34284,12,96214
893027,타이탄의 분노,조나단 리브스만,워너브러더스 코리아(주),2012-03-29,미국,액션,12세이상관람가,상업영화,일반영화,100분 0초,샘 워싱턴,리암 니슨,랄프 파인즈,1,1,303,3,71799
888386,그것,안드레스 무시에티,워너브러더스 코리아(주),2017-09-06,미국,공포(호러),15세이상관람가,상업영화,일반영화,134분 31초,빌 스카스가드,핀 울프하드,하비에르 보텟,4,9,1268,9,76925
884885,몬스터 호텔,젠디 타타코브스키,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-01-17,미국,애니메이션,전체관람가,상업영화,일반영화,91분 0초,아담 샌들러,스티브 부세미,프란 드레셔,13,21,4402,1,53476
875481,메가마인드,톰 맥그라스,씨제이엔터테인먼트,2011-01-13,미국,애니메이션,전체관람가,상업영화,일반영화,95분 0초,윌 페렐,브래드 피트,NA,27,95,15213,1,38769
873396,디스 민즈 워,맥지,이십세기폭스코리아(주),2012-02-29,미국,액션,15세이상관람가,상업영화,일반영화,97분 0초,리즈 위더스푼,크리스 파인,톰 하디,8,9,2411,2,35337
870065,몬스터 대학교,댄 스캔론,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-09-12,미국,애니메이션,전체관람가,상업영화,일반영화,110분 26초,빌리 크리스탈,존 굿맨,스티브 부세미,20,57,12645,9,9957
869805,개구쟁이 스머프 2,라자 고스넬,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-08-01,미국,애니메이션,전체관람가,상업영화,일반영화,104분 46초,박명수,닐 패트릭 해리스,크리스티나 리치,346,895,51983,8,92058
864757,오리엔트 특급 살인,케네스 브래너,이십세기폭스코리아(주),2017-11-29,미국,드라마,12세이상관람가,상업영화,일반영화,113분 47초,케네스 브래너,페넬로페 크루즈,윌렘 데포,1,4,1101,11,94340
858402,레전드 오브 타잔,데이빗 예이츠,워너브러더스 코리아(주),2016-06-29,미국,액션,12세이상관람가,상업영화,일반영화,109분 48초,알렉산더 스카스가드,마고 로비,크리스토프 왈츠,12,13,2811,6,84540
854377,헝거게임: 모킹제이,프란시스 로렌스,롯데쇼핑㈜롯데엔터테인먼트,2014-11-20,미국,어드벤처,15세이상관람가,상업영화,일반영화,122분 41초,제니퍼 로렌스,조쉬 허처슨,리암 헴스워스,16,19,4619,11,88152
837426,존 카터: 바숨 전쟁의 서막,앤드류 스탠튼,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-03-08,미국,SF,12세이상관람가,상업영화,일반영화,132분 0초,테일러 키치,린 콜린스,윌렘 데포,15,28,3581,3,41747
825517,인시디어스 3,리 워넬,유니버설픽쳐스인터내셔널 코리아(유),2015-07-09,미국,공포(호러),15세이상관람가,상업영화,일반영화,97분 13초,스테파니 스콧,더못 멀로니,린 샤예,1,1,173,7,38555
820995,브리짓 존스의 베이비,샤론 맥과이어,유니버설픽쳐스인터내셔널 코리아(유),2016-09-28,미국,코미디,15세이상관람가,상업영화,일반영화,122분 32초,르네 젤위거,콜린 퍼스,패트릭 뎀시,349,1620,49757,9,41530
809755,하트 오브 더 씨,론 하워드,워너브러더스 코리아(주),2015-12-03,미국,액션,12세이상관람가,상업영화,일반영화,121분 33초,크리스 헴스워스,킬리언 머피,벤 위쇼,17,19,1701,12,44675
806709,헝거게임: 더 파이널,프란시스 로렌스,롯데쇼핑㈜롯데엔터테인먼트,2015-11-18,미국,액션,15세이상관람가,상업영화,일반영화,136분 45초,제니퍼 로렌스,조쉬 허처슨,리암 헴스워스,1,2,802,11,46781
800062,하늘에서 음식이 내린다면 2,"코디 카메론,크리스 피언",소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-11-21,미국,애니메이션,전체관람가,상업영화,일반영화,94분 40초,빌 헤이더,안나 패리스,닐 패트릭 해리스,1,1,58,11,11643
784031,잭 리처,크리스토퍼 맥쿼리,씨제이이앤엠(주),2013-01-17,미국,액션,15세이상관람가,상업영화,일반영화,130분 0초,톰 크루즈,로자문드 파이크,로버트 듀발,3,9,1139,1,75139
773649,그랜드 부다페스트 호텔,웨스 앤더슨,이십세기폭스코리아(주),2014-03-20,미국,미스터리,청소년관람불가,다양성영화,예술영화,99분 39초,랄프 파인즈,틸다 스윈튼,주드 로,12,19,2231,3,8041
