"y","title","director","dist","date","genre","grade","type2","type3","time","main1","main2","main3","b_screen","b_play","b_count","month","first_count","actor","main1_to_m","main1_to_s","main2_to_m","main2_to_s","main3_to_m","main3_to_s","dist_factor2","dist_factor1","dir_to_m","dir_to_s"
17691,"괜찮아요, 미스터 브래드","마이크 화이트","(주)영화사 진진,(주)누리픽쳐스",2017-09-21,"드라마","12세이상관람가","다양성영화","예술영화","102분 25초","벤 스틸러","루크 윌슨","마이클 쉰",3,5,724,9,1476,"벤 스틸러,루크 윌슨,마이클 쉰",530764.25,-0.122868275760534,88671,-0.539141437603538,232631.666666667,-0.403588673804588,0,0,17691,-0.532375675325868
310701,"트루스 오어 데어","제프 와드로","유니버설픽쳐스인터내셔널 코리아(유)",2018-05-22,"공포(호러)","15세이상관람가","상업영화","일반영화","99분 58초","루시 헤일","타일러 포시","바이올렛 빈",1,1,200,5,54911,"루시 헤일,타일러 포시,바이올렛 빈",310701,-0.330078914880103,310701,-0.330078914880103,310701,-0.330078914880103,0,0,161764,-0.410063272723804
4853123,"어메이징 스파이더맨","마크 웹","한국소니픽쳐스릴리징브에나비스타영화㈜",2012-06-28,"액션","12세이상관람가","상업영화","일반영화","136분 0초","앤드류 가필드","엠마 스톤","마틴 쉰",7,23,5356,6,272155,"앤드류 가필드,엠마 스톤,마틴 쉰",1861613,1.13025336112786,1731805.75,1.00802739548001,2439191.5,1.6740988697565,1,0,2271147.75,1.38072191584208
465607,"카 2","존 라세터","한국소니픽쳐스릴리징브에나비스타영화㈜",2011-07-20,"애니메이션","전체관람가","상업영화","일반영화","113분 0초","오웬 윌슨","마이클 케인",NA,14,43,8726,7,10974,"오웬 윌슨,마이클 케인,NA",354718.25,-0.288632455715359,3963012.66666667,3.10892252999476,425905.590975483,-0.221602752115359,1,0,465607,-0.152112321859874
110795,"러브 앤 프렌즈","루크 그린필드","롯데쇼핑㈜롯데엔터테인먼트",2011-06-16,"드라마","15세이상관람가","상업영화","일반영화","112분 0초","케이트 허드슨","지니퍼 굿윈",NA,23,40,7996,6,9123,"케이트 허드슨,지니퍼 굿윈,NA",110795,-0.518309571401974,110795,-0.518309571401974,412880.695724592,-0.23386693920431,0,1,110795,-0.45333398165764
93336,"프리스트","스콧 찰스 스튜어트","한국소니픽쳐스릴리징브에나비스타영화㈜",2011-06-09,"액션","15세이상관람가","상업영화","일반영화","87분 0초","폴 베타니","매기 큐",NA,2,2,400,6,10649,"폴 베타니,매기 큐,NA",153661,-0.477947124439569,93336,-0.534748893044222,423618.669875246,-0.223756107492943,1,0,93336,-0.46815599714305
111008,"스틸 앨리스","리처드 글랫저,워시 웨스트모어랜드","그린나래미디어(주)",2015-04-29,"드라마","12세이상관람가","다양성영화","예술영화","101분 0초","줄리안 무어","알렉 볼드윈","크리스틴 스튜어트",32,78,3518,4,3867,"줄리안 무어,알렉 볼드윈,크리스틴 스튜어트",395588.666666667,-0.250149041703328,600170.4,-0.0575157341602049,481051,-0.169678064788057,0,0,111008,-0.453153152898926
15539,"런던 블러바드","윌리엄 모나한","(주)팝파트너스",2012-09-20,"범죄","15세이상관람가","상업영화","일반영화","103분 0초","콜린 파렐","키이라 나이틀리","레이 윈스톤",9,27,3125,9,1757,"콜린 파렐,키이라 나이틀리,레이 윈스톤",1186583.2,0.494648114532823,849344.2,0.177105277525534,15539,-0.608002224036948,0,0,15539,-0.534202640061798
76343,"러덜리스","윌리엄 H. 머시","그린나래미디어(주)",2015-07-09,"코미디","12세이상관람가","다양성영화","예술영화","105분 1초","빌리 크루덥","안톤 옐친","셀레나 고메즈",6,30,3471,7,4315,"빌리 크루덥,안톤 옐친,셀레나 고메즈",76343,-0.550749431028455,34582.6666666667,-0.590070786865226,795723.5,0.12661624986172,0,0,76343,-0.48258239665869
16029,"셀마","에바 두버네이","찬란",2015-07-23,"드라마","12세이상관람가","다양성영화","예술영화","127분 51초","데이빗 오예로워","카르멘 에조고","톰 윌킨슨",7,18,2231,7,1051,"데이빗 오예로워,카르멘 에조고,톰 윌킨슨",71449.5,-0.555357130235532,16029,-0.60754084207895,16029,-0.60754084207895,0,0,16029,-0.533786649020624
49958,"언더더씨","에반 트라멜","(주)팝엔터테인먼트",2017-06-22,"애니메이션","전체관람가","상업영화","일반영화","71분 21초","김연우","황창영","김경희",1,1,326,6,872,"김연우,황창영,김경희",49958,-0.575593437072944,49958,-0.575593437072944,41205.5,-0.583834754598219,0,0,49958,-0.504982240783929
445009,"헌츠맨: 윈터스 워","세딕 니콜라스 트로얀","유니버설픽쳐스인터내셔널 코리아(유)",2016-04-13,"액션","12세이상관람가","상업영화","일반영화","113분 57초","크리스 헴스워스","샤를리즈 테론","에밀리 블런트",2,2,498,4,111569,"크리스 헴스워스,샤를리즈 테론,에밀리 블런트",2886339,2.09513109233668,1105832.5,0.418613591929196,943898.285714286,0.266137010594202,0,0,445009,-0.16959922689272
233283,"드림 쏭","애쉬 브래넌","(주)이수C&E",2016-09-14,"애니메이션","전체관람가","다양성영화","예술영화","89분 31초","J.K. 시몬스","루크 윌슨","에디 이자드",12,46,8093,9,19694,"J.K. 시몬스,루크 윌슨,에디 이자드",469690.25,-0.180375299643843,88671,-0.539141437603538,233283,-0.402975381052255,0,0,233283,-0.349346408899929
26262,"트레이서","다니엘 벤마요","(주)영화사오원,(주)브리즈픽처스",2015-03-19,"액션","15세이상관람가","상업영화","일반영화","93분 32초","테일러 로트너","마리 아브게로폴로스",NA,4,6,1209,3,3316,"테일러 로트너,마리 아브게로폴로스,NA",26262,-0.597905491923435,26262,-0.597905491923435,372018.693173578,-0.272342430520107,0,0,26262,-0.525099227950563
3247558,"분노의 질주: 더 세븐","제임스 완","유니버설픽쳐스인터내셔널 코리아(유)",2015-04-01,"액션","15세이상관람가","상업영화","일반영화","137분 46초","빈 디젤","폴 워커","드웨인 존슨",1,1,397,4,135549,"빈 디젤,폴 워커,드웨인 존슨",1789070.2,1.06194736295904,2519007.5,1.74925328273535,1917131.125,1.18252899626444,0,0,2478839,1.55704375120974
773649,"그랜드 부다페스트 호텔","웨스 앤더슨","이십세기폭스코리아(주)",2014-03-20,"미스터리","청소년관람불가","다양성영화","예술영화","99분 39초","랄프 파인즈","틸다 스윈튼","주드 로",12,19,2231,3,8041,"랄프 파인즈,틸다 스윈튼,주드 로",317644.666666667,-0.323540787283454,3110014,2.30574254020482,1101953.6,0.414961235853927,1,0,277415.333333333,-0.311879765445325
38149,"신은 죽지 않았다","해롤드 크론크","(주)씨타마운틴픽쳐스,(주)에스와이코마드",2015-04-16,"드라마","12세이상관람가","다양성영화","예술영화","112분 53초","쉐인 하퍼","케빈 소르보","트리샤 라파체",4,11,1586,4,1769,"쉐인 하퍼,케빈 소르보,트리샤 라파체",38149,-0.586712742260716,38149,-0.586712742260716,38149,-0.586712742260716,0,0,36366.5,-0.516520898408646
151833,"아메리칸 셰프","존 파브로","(주)영화사 진진",2015-01-07,"코미디","15세이상관람가","다양성영화","예술영화","114분 27초","존 파브로","엠제이 안소니","소피아 베르가라",2,9,1961,1,2739,"존 파브로,엠제이 안소니,소피아 베르가라",151833,-0.479668361621654,151833,-0.479668361621654,151833,-0.479668361621654,0,0,1341942,0.591862186439946
233563,"비행기","클레이 홀","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)",2013-12-19,"애니메이션","전체관람가","상업영화","일반영화","91분 47초","발 킬머","테리 해처","세드릭 더 엔터테이너",6,7,2003,12,10897,"발 킬머,테리 해처,세드릭 더 엔터테이너",233563,-0.402711734219113,233563,-0.402711734219113,233563,-0.402711734219113,1,0,233563,-0.349108699733545
