y,title,director,dist,date,country,genre,grade,type2,type3,time,main1,main2,main3,b_screen,b_play,b_count,month,first_count
53500,길위에서,이창재,㈜영화사 백두대간,2013-05-23,한국,다큐멘터리,전체관람가,다양성영화,예술영화,104분 28초,임소연,최병화,윤종호,1,3,242,5,558
52852,블랙 가스펠,히즈엠티 선교회,(주)넥스트엔터테인먼트월드(NEW),2013-11-14,한국,드라마,전체관람가,다양성영화,예술영화,93분 21초,양동근,정준,김유미,6,14,2984,11,4172
52618,머니백,허준형,(주)리틀빅픽쳐스,2018-04-12,한국,액션,15세이상관람가,상업영화,일반영화,100분 31초,김무열,박희순,이경영,14,27,5079,4,7666
52010,소중한 날의 꿈,"안재훈,한혜진",에이원엔터테인먼트,2011-06-23,한국,애니메이션,전체관람가,다양성영화,예술영화,100분 0초,박신혜,오연서,송창의,3,8,1556,6,3251
51207,미안해 사랑해 고마워,전윤수,(주)쇼박스,2015-10-28,한국,드라마,15세이상관람가,상업영화,일반영화,114분 45초,지진희,김성균,성유리,9,14,3985,10,6142
50905,두 번의 결혼식과 한 번의 장례식,김조광수,(주)영화사 진진,2012-06-21,한국,코미디,15세이상관람가,다양성영화,"예술,독립 영화",106분 0초,김동윤,류현경,송용진,6,20,3112,6,3372
50514,더 테너 리리코 스핀토,김상만,"(주)박수엔터테인먼트,(주)모인그룹",2014-12-31,한국,드라마,12세이상관람가,다양성영화,예술영화,114분 22초,유지태,차예련,이세야 유스케,28,66,11245,12,6625
50288,다이빙벨,"이상호,안해룡",(주)시네마달,2014-10-23,한국,다큐멘터리,15세이상관람가,다양성영화,"예술,독립 영화",77분 0초,이상호,이종인,김영우,3,7,1818,10,1430
50274,"제자, 옥한흠",김상철,(주)씨타마운틴픽쳐스,2014-10-30,한국,다큐멘터리,전체관람가,다양성영화,예술영화,92분 37초,권오중,성유리,옥한흠,1,1,255,10,1526
50196,비밀,"박은경,이동하",CGV아트하우스,2015-10-15,한국,미스터리,15세이상관람가,상업영화,일반영화,101분 41초,성동일,김유정,손호준,3,12,1959,10,7539
49685,살인소설,김진묵,"(주)스톰픽쳐스코리아,(주)페퍼민트앤컴퍼니",2018-04-25,한국,스릴러,15세이상관람가,다양성영화,예술영화,102분 42초,지현우,오만석,이은우,10,12,2544,4,7827
48396,더 킥,"프라챠 핀카엡,이종석",(주)쇼박스,2011-11-03,한국,액션,12세이상관람가,상업영화,일반영화,105분 0초,예지원,나태주,조재현,7,28,3701,11,3552
48287,데자뷰,고경민,씨네그루(주)키다리이엔티,2018-05-30,한국,미스터리,15세이상관람가,상업영화,일반영화,86분 59초,남규리,이천희,이규한,6,9,1665,5,15214
48223,우리들,윤가은,(주)엣나인필름,2016-06-16,한국,드라마,전체관람가,다양성영화,예술영화,94분 29초,최수인,설혜인,이서연,3,10,1268,6,850
47684,목숨 건 연애,송민규,오퍼스픽쳐스,2016-12-14,한국,멜로/로맨스,15세이상관람가,상업영화,일반영화,103분 26초,하지원,천정명,진백림,7,15,3279,12,7489
47105,뜨거운 안녕,남택수,(주)나이너스엔터테인먼트,2013-05-30,한국,드라마,12세이상관람가,상업영화,일반영화,99분 30초,이홍기,마동석,임원희,17,28,5627,5,4919
46819,비밥바룰라,이성재,씨네그루(주)키다리이엔티,2018-01-24,한국,코미디,12세이상관람가,상업영화,일반영화,97분 0초,박인환,신구,임현식,9,12,1976,1,8922
46775,내 연애의 기억,이권,주식회사 디에스이이디,2014-08-20,한국,멜로/로맨스,청소년관람불가,다양성영화,예술영화,92분 53초,강예원,송새벽,박그리나,4,6,1618,8,7506
46623,"그래, 가족",마대윤,월트디즈니컴퍼니코리아 유한책임회사,2017-02-15,한국,코미디,12세이상관람가,상업영화,일반영화,106분 1초,이요원,정만식,이솜,10,11,2798,2,8010
45701,족구왕,우문기,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),2014-08-21,한국,코미디,15세이상관람가,다양성영화,"예술,독립 영화",104분 5초,안재홍,강봉성,황승언,3,11,1544,8,1233
45638,설계,박창진,(주)팝엔터테인먼트,2014-09-18,한국,스릴러,청소년관람불가,상업영화,일반영화,98분 16초,신은경,오인혜,강지섭,2,6,1635,9,8031
45454,미운오리새끼,곽경택,롯데쇼핑㈜롯데엔터테인먼트,2012-08-30,한국,드라마,15세이상관람가,상업영화,일반영화,96분 0초,김준구,오달수,정예진,5,26,6513,8,4352
44824,북촌방향,홍상수,(주)영화제작전원사,2011-09-08,한국,드라마,청소년관람불가,다양성영화,예술영화,79분 0초,김보경,김상중,유준상,4,27,1533,9,1776
43964,성실한 나라의 앨리스,안국진,CGV아트하우스,2015-08-13,한국,드라마,청소년관람불가,다양성영화,예술영화,89분 41초,이정현,이준혁,이해영,2,7,1146,8,3219
43947,혈투,박훈정,(주)싸이더스,2011-02-24,한국,액션,15세이상관람가,상업영화,일반영화,111분 0초,박희순,진구,고창석,3,6,1446,2,5605
43823,범죄의 여왕,"이요섭,김태곤","(주)콘텐츠판다,TCO(주)더콘텐츠온",2016-08-25,한국,스릴러,15세이상관람가,다양성영화,예술영화,103분 2초,박지영,조복래,김대현,5,16,3273,8,5290
43674,우리별 일호와 얼룩소,장형윤,(주)인디플러그,2014-02-20,한국,애니메이션,전체관람가,다양성영화,예술영화,81분 0초,유아인,정유미,황석정,7,14,3262,2,5632
43608,산상수훈,유영의,"이언픽쳐스,(주)그란",2017-12-07,한국,드라마,전체관람가,다양성영화,예술영화,124분 8초,백서빈,최이선,정준영,3,9,2108,12,3082
43562,약장수,조치언,"(주)대명문화공장,(주)나이너스엔터테인먼트",2015-04-23,한국,드라마,15세이상관람가,상업영화,일반영화,104분 24초,김인권,박철민,이주실,6,14,3203,4,4006
39916,훈장과 악동들,김봉곤,어뮤즈,2011-10-27,한국,다큐멘터리,전체관람가,다양성영화,예술영화,92분 0초,김봉곤,이윤경,송규호,1,1,126,10,2942
39577,인피니트 콘서트 세컨드 인베이전 에볼루션 더 무비 3D,손석,골든타이드픽처스(주),2012-10-18,한국,공연,전체관람가,상업영화,일반영화,98분 0초,김성규,장동우,남우현,1,1,108,10,5974
38653,말하는 건축가,정재은,"(주)두타연,(주)미디어데이",2012-03-08,한국,다큐멘터리,전체관람가,다양성영화,"예술,독립 영화",93분 0초,정기용,승효상,유걸,2,9,1004,3,505
38432,끝과 시작,민규동,롯데쇼핑㈜롯데엔터테인먼트,2013-04-04,한국,멜로/로맨스,청소년관람불가,다양성영화,"예술,독립 영화",88분 0초,엄정화,황정민,김효진,1,6,809,4,6756
38313,자유의 언덕,홍상수,"(주)영화제작전원사 ,(주)영화사 조제",2014-09-04,한국,드라마,청소년관람불가,다양성영화,예술영화,66분 37초,카세 료,문소리,서영화,14,16,1779,9,1953
38155,트릭,이창열,"(주)스톰픽쳐스코리아,(주)이수C&E",2016-07-13,한국,스릴러,15세이상관람가,상업영화,일반영화,94분 30초,이정진,강예원,김태훈,7,13,1924,7,8589
37943,4등,정지우,"(주)프레인글로벌,CGV아트하우스",2016-04-13,한국,드라마,15세이상관람가,다양성영화,예술영화,119분 37초,박해준,이항나,유재상,15,33,2887,4,4401
37711,타이밍,"민경조,박대열",(주)스톰픽쳐스코리아,2015-12-10,한국,애니메이션,15세이상관람가,다양성영화,예술영화,99분 44초,엄상현,박지윤,성완경,4,19,1599,12,5934
37449,다시 태어나도 우리,"문창용,전진",(주)엣나인필름,2017-09-27,한국,다큐멘터리,전체관람가,다양성영화,"예술,독립 영화",95분 19초,문창용,전진,문창용,3,11,1611,9,708
36792,백프로,김명균,(주)마인스 엔터테인먼트,2014-04-03,한국,코미디,15세이상관람가,상업영화,일반영화,108분 58초,윤시윤,여진구,천호진,6,8,1507,4,5451
35907,한여름의 판타지아,장건재,㈜인디스토리,2015-06-11,한국,드라마,전체관람가,다양성영화,"예술,독립 영화",97분 0초,김새벽,이와세 료,임형국,1,6,474,6,1572
35578,지구대표 롤링스타즈,임상준,롯데쇼핑㈜롯데엔터테인먼트,2011-03-24,한국,애니메이션,전체관람가,상업영화,일반영화,83분 0초,류덕환,류승룡,심은경,4,9,1623,3,483
35436,스파키,아론 우들리,예지림엔터테인먼트,2018-04-12,한국,애니메이션,전체관람가,상업영화,일반영화,91분 22초,제시카 비엘,수잔 서랜든,NA,3,5,984,4,929
34876,누구의 딸도 아닌 해원,홍상수,"(주)영화제작전원사 ,(주)영화사 조제",2013-02-28,한국,드라마,청소년관람불가,다양성영화,예술영화,90분 0초,정은채,이선균,김자옥,1,1,152,2,2761
34740,뫼비우스,김기덕,(주)넥스트엔터테인먼트월드(NEW),2013-09-05,한국,드라마,청소년관람불가,다양성영화,"예술,독립 영화",87분 50초,조재현,서영주,이은우,2,2,608,9,4959
34225,더 플랜,최진성,(주)엣나인필름,2017-04-20,한국,다큐멘터리,15세이상관람가,다양성영화,"예술,독립 영화",102분 13초,김어준,김어준,김어준,2,3,407,4,4533
33884,복숭아나무,구혜선,(주)넥스트엔터테인먼트월드(NEW),2012-10-31,한국,멜로/로맨스,15세이상관람가,상업영화,일반영화,106분 0초,조승우,류덕환,남상미,7,12,2398,10,4547
33751,"메밀꽃, 운수 좋은 날, 그리고 봄봄","안재훈,한혜진",이달투,2014-08-21,한국,애니메이션,전체관람가,다양성영화,"예술,독립 영화",90분 3초,장광,엄상현,류현경,3,17,1314,8,1434
33481,만신,박찬경,(주)엣나인필름,2014-03-06,한국,다큐멘터리,15세이상관람가,다양성영화,"예술,독립 영화",104분 41초,김새론,류현경,문소리,5,23,3806,3,1787
32988,I AM,최진성,씨제이이앤엠(주),2012-06-21,한국,다큐멘터리,전체관람가,상업영화,일반영화,116분 0초,정윤호,심창민,NA,3,13,1229,6,3407
32278,대결,신동엽,"(주)스톰픽쳐스코리아,TCO(주)더콘텐츠온",2016-09-22,한국,액션,15세이상관람가,상업영화,일반영화,97분 13초,이주승,오지호,이정진,4,8,1812,9,5296
31843,극장판 프리파라 모두 모여라! 프리즘☆투어즈,히시다 마사카즈,(주)박수엔터테인먼트,2016-10-13,한국,애니메이션,전체관람가,다양성영화,예술영화,88분 24초,아오바 죠,NA,NA,106,299,5627,10,1390
31713,꼭두각시,권영락,(주)인벤트스톤,2013-06-20,한국,공포(호러),청소년관람불가,상업영화,일반영화,85분 40초,이종수,구지성,원기준,2,3,629,6,5360
